Date,Advisor,Portfolio Value USD,Cash,AAPL,NVDA,AAPL close,AAPL total,NVDA close,NVDA total
2024-07-10,Initial,1000.0,0.0,2.146,3.706,232.98,499.975,134.91,499.976
2024-07-10,always_cash,999.95,999.95,0.0,0.0,232.98,0.0,134.91,0.0
2024-07-11,always_cash,999.95,999.95,0.0,0.0,227.57,0.0,127.4,0.0
2024-07-12,always_cash,999.95,999.95,0.0,0.0,230.54,0.0,129.24,0.0
2024-07-13,always_cash,999.95,999.95,0.0,0.0,230.54,0.0,129.24,0.0
2024-07-14,always_cash,999.95,999.95,0.0,0.0,230.54,0.0,129.24,0.0
2024-07-15,always_cash,999.95,999.95,0.0,0.0,234.4,0.0,128.44,0.0
2024-07-16,always_cash,999.95,999.95,0.0,0.0,234.82,0.0,126.36,0.0
2024-07-17,always_cash,999.95,999.95,0.0,0.0,228.88,0.0,117.99,0.0
2024-07-18,always_cash,999.95,999.95,0.0,0.0,224.18,0.0,121.09,0.0
2024-07-10,Initial,1000.0,0.0,2.146,3.706,232.98,499.975,134.91,499.976
2024-07-10,always_hold,999.95,0.0,2.146,3.706,232.98,499.975,134.91,499.976
2024-07-11,always_hold,960.51,0.0,2.146,3.706,227.57,488.365,127.4,472.144
2024-07-12,always_hold,973.7,0.0,2.146,3.706,230.54,494.739,129.24,478.963
2024-07-13,always_hold,973.7,0.0,2.146,3.706,230.54,494.739,129.24,478.963
2024-07-14,always_hold,973.7,0.0,2.146,3.706,230.54,494.739,129.24,478.963
2024-07-15,always_hold,979.02,0.0,2.146,3.706,234.4,503.022,128.44,475.999
2024-07-16,always_hold,972.21,0.0,2.146,3.706,234.82,503.924,126.36,468.29
2024-07-17,always_hold,928.45,0.0,2.146,3.706,228.88,491.176,117.99,437.271
2024-07-18,always_hold,929.85,0.0,2.146,3.706,224.18,481.09,121.09,448.76
