Date,Advisor,Portfolio Value USD,Cash,AAPL,AAPL close,AAPL total
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-26,always_cash,1000.19,1000.19,0.0,227.18,0.0
2024-08-27,always_cash,1000.19,1000.19,0.0,228.03,0.0
2024-08-28,always_cash,1000.19,1000.19,0.0,226.49,0.0
2024-08-29,always_cash,1000.19,1000.19,0.0,229.79,0.0
2024-08-30,always_cash,1000.19,1000.19,0.0,229.0,0.0
2024-08-31,always_cash,1000.19,1000.19,0.0,229.0,0.0
2024-09-01,always_cash,1000.19,1000.19,0.0,229.0,0.0
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-26,always_hold,1000.19,900.0,0.441,227.18,100.186
2024-08-27,always_hold,1000.56,900.0,0.441,228.03,100.561
2024-08-28,always_hold,999.88,900.0,0.441,226.49,99.882
2024-08-29,always_hold,1001.34,900.0,0.441,229.79,101.337
2024-08-30,always_hold,1000.99,900.0,0.441,229.0,100.989
2024-08-31,always_hold,1000.99,900.0,0.441,229.0,100.989
2024-09-01,always_hold,1000.99,900.0,0.441,229.0,100.989
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-25,Initial,1000.0,900.0,0.441,,
2024-08-26,dory,100.19,-900.09,4.403,227.18,1000.274
2024-08-27,dory,1004.02,900.03,0.456,228.03,103.982
2024-08-28,dory,1003.31,1003.31,0.0,226.49,0.0
2024-08-29,dory,1003.31,1003.31,0.0,229.79,0.0
2024-08-30,dory,1003.31,1003.31,0.0,229.0,0.0
2024-08-31,dory,1003.31,1003.31,0.0,229.0,0.0
2024-09-01,dory,1003.31,1003.31,0.0,229.0,0.0
