Date,Advisor,Portfolio Value USD,Cash,aapl,aapl close,aapl total
2024-07-29,Initial,1000.0,900.0,0.458,218.24,99.954
2024-07-29,always_cash,999.95,999.95,0.0,218.24,0.0
2024-07-30,always_cash,999.95,999.95,0.0,218.8,0.0
2024-07-31,always_cash,999.95,999.95,0.0,222.08,0.0
2024-08-01,always_cash,999.95,999.95,0.0,218.36,0.0
2024-08-02,always_cash,999.95,999.95,0.0,219.86,0.0
2024-08-03,always_cash,999.95,999.95,0.0,219.86,0.0
2024-08-04,always_cash,999.95,999.95,0.0,219.86,0.0
2024-08-05,always_cash,999.95,999.95,0.0,209.27,0.0
2024-08-06,always_cash,999.95,999.95,0.0,207.23,0.0
2024-08-07,always_cash,999.95,999.95,0.0,209.82,0.0
2024-08-08,always_cash,999.95,999.95,0.0,213.31,0.0
2024-08-09,always_cash,999.95,999.95,0.0,216.24,0.0
2024-08-10,always_cash,999.95,999.95,0.0,216.24,0.0
2024-08-11,always_cash,999.95,999.95,0.0,216.24,0.0
2024-08-12,always_cash,999.95,999.95,0.0,217.53,0.0
2024-08-13,always_cash,999.95,999.95,0.0,221.27,0.0
2024-08-14,always_cash,999.95,999.95,0.0,221.72,0.0
2024-08-15,always_cash,999.95,999.95,0.0,224.72,0.0
2024-08-16,always_cash,999.95,999.95,0.0,226.05,0.0
2024-08-17,always_cash,999.95,999.95,0.0,226.05,0.0
2024-08-18,always_cash,999.95,999.95,0.0,226.05,0.0
2024-08-19,always_cash,999.95,999.95,0.0,225.89,0.0
2024-08-20,always_cash,999.95,999.95,0.0,226.51,0.0
2024-08-21,always_cash,999.95,999.95,0.0,226.4,0.0
2024-08-22,always_cash,999.95,999.95,0.0,224.53,0.0
2024-08-23,always_cash,999.95,999.95,0.0,226.84,0.0
2024-08-24,always_cash,999.95,999.95,0.0,226.84,0.0
2024-08-25,always_cash,999.95,999.95,0.0,226.84,0.0
2024-08-26,always_cash,999.95,999.95,0.0,227.18,0.0
