Date,Advisor,Portfolio Value USD,Cash,NVDA,AAPL,TMO,NVDA close,NVDA total,AAPL close,AAPL total,TMO close,TMO total
2024-08-06,Initial,2000.0,500.0,4.796,2.413,0.831,104.25,499.983,207.23,500.046,602.02,500.279
2024-08-06,always_cash,2000.31,2000.31,0.0,0.0,0.0,104.25,0.0,207.23,0.0,602.02,0.0
2024-08-07,always_cash,2000.31,2000.31,0.0,0.0,0.0,98.91,0.0,209.82,0.0,587.37,0.0
2024-08-08,always_cash,2000.31,2000.31,0.0,0.0,0.0,104.97,0.0,213.31,0.0,600.04,0.0
2024-08-09,always_cash,2000.31,2000.31,0.0,0.0,0.0,104.75,0.0,216.24,0.0,596.18,0.0
2024-08-10,always_cash,2000.31,2000.31,0.0,0.0,0.0,104.75,0.0,216.24,0.0,596.18,0.0
2024-08-11,always_cash,2000.31,2000.31,0.0,0.0,0.0,104.75,0.0,216.24,0.0,596.18,0.0
2024-08-12,always_cash,2000.31,2000.31,0.0,0.0,0.0,109.02,0.0,217.53,0.0,599.07,0.0
2024-08-13,always_cash,2000.31,2000.31,0.0,0.0,0.0,116.14,0.0,221.27,0.0,604.21,0.0
2024-08-14,always_cash,2000.31,2000.31,0.0,0.0,0.0,118.08,0.0,221.72,0.0,602.1,0.0
2024-08-15,always_cash,2000.31,2000.31,0.0,0.0,0.0,122.86,0.0,224.72,0.0,603.69,0.0
2024-08-16,always_cash,2000.31,2000.31,0.0,0.0,0.0,124.58,0.0,226.05,0.0,603.98,0.0
2024-08-17,always_cash,2000.31,2000.31,0.0,0.0,0.0,124.58,0.0,226.05,0.0,603.98,0.0
2024-08-18,always_cash,2000.31,2000.31,0.0,0.0,0.0,124.58,0.0,226.05,0.0,603.98,0.0
2024-08-19,always_cash,2000.31,2000.31,0.0,0.0,0.0,130.0,0.0,225.89,0.0,607.6,0.0
2024-08-20,always_cash,2000.31,2000.31,0.0,0.0,0.0,127.25,0.0,226.51,0.0,614.54,0.0
2024-08-21,always_cash,2000.31,2000.31,0.0,0.0,0.0,128.5,0.0,226.4,0.0,610.17,0.0
2024-08-22,always_cash,2000.31,2000.31,0.0,0.0,0.0,123.74,0.0,224.53,0.0,603.86,0.0
2024-08-23,always_cash,2000.31,2000.31,0.0,0.0,0.0,129.37,0.0,226.84,0.0,606.12,0.0
2024-08-24,always_cash,2000.31,2000.31,0.0,0.0,0.0,129.37,0.0,226.84,0.0,606.12,0.0
2024-08-25,always_cash,2000.31,2000.31,0.0,0.0,0.0,129.37,0.0,226.84,0.0,606.12,0.0
2024-08-26,always_cash,2000.31,2000.31,0.0,0.0,0.0,126.46,0.0,227.18,0.0,605.59,0.0
2024-08-27,always_cash,2000.31,2000.31,0.0,0.0,0.0,128.3,0.0,228.03,0.0,610.4,0.0
2024-08-28,always_cash,2000.31,2000.31,0.0,0.0,0.0,125.61,0.0,226.49,0.0,613.14,0.0
2024-08-29,always_cash,2000.31,2000.31,0.0,0.0,0.0,117.59,0.0,229.79,0.0,611.68,0.0
2024-08-30,always_cash,2000.31,2000.31,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
