Date,Advisor,Portfolio Value USD,Cash,AAPL,TSLA,NVDA,AAPL close,AAPL total,TSLA close,TSLA total,NVDA close,NVDA total
2024-03-07,Initial,1000.0,0.0,0.592,2.239,5.395,169.0,100.048,178.65,399.997,92.67,499.955
2024-03-07,always_cash,1000.0,1000.0,0.0,0.0,0.0,169.0,0.0,178.65,0.0,92.67,0.0
2024-03-08,always_cash,1000.0,1000.0,0.0,0.0,0.0,170.73,0.0,175.34,0.0,87.53,0.0
2024-03-09,always_cash,1000.0,1000.0,0.0,0.0,0.0,170.73,0.0,175.34,0.0,87.53,0.0
2024-03-10,always_cash,1000.0,1000.0,0.0,0.0,0.0,170.73,0.0,175.34,0.0,87.53,0.0
2024-03-11,always_cash,1000.0,1000.0,0.0,0.0,0.0,172.75,0.0,177.77,0.0,85.77,0.0
2024-03-12,always_cash,1000.0,1000.0,0.0,0.0,0.0,173.23,0.0,177.54,0.0,91.91,0.0
2024-03-13,always_cash,1000.0,1000.0,0.0,0.0,0.0,171.13,0.0,169.48,0.0,90.89,0.0
2024-03-14,always_cash,1000.0,1000.0,0.0,0.0,0.0,173.0,0.0,162.5,0.0,87.94,0.0
2024-03-15,always_cash,1000.0,1000.0,0.0,0.0,0.0,172.62,0.0,163.57,0.0,87.84,0.0
2024-03-16,always_cash,1000.0,1000.0,0.0,0.0,0.0,172.62,0.0,163.57,0.0,87.84,0.0
2024-03-17,always_cash,1000.0,1000.0,0.0,0.0,0.0,172.62,0.0,163.57,0.0,87.84,0.0
2024-03-18,always_cash,1000.0,1000.0,0.0,0.0,0.0,173.72,0.0,173.8,0.0,88.46,0.0
2024-03-19,always_cash,1000.0,1000.0,0.0,0.0,0.0,176.08,0.0,171.32,0.0,89.4,0.0
2024-03-20,always_cash,1000.0,1000.0,0.0,0.0,0.0,178.67,0.0,175.66,0.0,90.37,0.0
2024-03-21,always_cash,1000.0,1000.0,0.0,0.0,0.0,171.37,0.0,172.82,0.0,91.44,0.0
